No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
29;B-AA11746-x40-10AA.tif;720;248.569444;573.873611;28.316595;33.633216;1.068723;1.187756;0.841924;0.810412;33.000000;0.539597;98.334000;0.602333;-1.571306e-01;7.848988e-01
30;B-AA11746-x40-10AA.tif;636;255.691824;459.022013;26.632534;30.612588;0.956300;1.149443;0.869986;0.864106;14.000000;0.493076;87.424000;0.611788;-5.413335e-01;8.563179e-01
31;B-AA11746-x40-10AA.tif;1664;275.378005;563.095553;35.457418;62.248001;1.266964;1.755571;0.569615;0.546780;132.000000;0.821911;162.766000;0.629657;-6.488809e-01;8.028312e-01
32;B-AA11746-x40-10AA.tif;1329;319.229496;560.103837;36.817281;49.461807;2.117173;1.343440;0.744358;0.691664;154.000000;0.667781;188.038000;0.618197;-3.209785e-03;8.392931e-01
33;B-AA11746-x40-10AA.tif;1081;319.688252;526.749306;34.773938;41.757644;1.383571;1.200832;0.832756;0.789340;153.000000;0.553640;137.094000;0.621407;3.424977e-01;7.837184e-01
34;B-AA11746-x40-10AA.tif;1141;353.446976;517.948291;32.571437;45.770426;1.109800;1.405232;0.711626;0.693467;65.000000;0.702558;126.145000;0.584023;-4.419945e-01;8.140637e-01
35;B-AA11746-x40-10AA.tif;1251;359.836930;567.725020;37.993819;43.196147;1.207568;1.136926;0.879565;0.853645;116.000000;0.475779;137.781000;0.671611;8.682013e-02;9.007564e-01
36;B-AA11746-x40-10AA.tif;557;387.021544;582.768402;22.540824;32.966491;1.174654;1.462524;0.683750;0.652559;58.000000;0.729717;90.675000;0.599299;3.213650e-01;7.690683e-01
37;B-AA11746-x40-10AA.tif;999;393.799800;549.426426;33.584488;42.695267;2.035299;1.271279;0.786609;0.697776;219.000000;0.617451;159.846000;0.576670;-3.081396e-01;8.248228e-01
38;B-AA11746-x40-10AA.tif;954;412.042977;598.588050;30.930502;42.402948;1.497456;1.370910;0.729442;0.675564;164.000000;0.684042;133.985000;0.581063;-7.921391e-02;7.962221e-01
39;B-AA11746-x40-10AA.tif;1238;439.259289;570.411147;38.126625;41.887374;1.111310;1.098638;0.910218;0.898389;63.000000;0.414130;131.487000;0.608008;4.336393e-02;8.110605e-01
40;B-AA11746-x40-10AA.tif;1739;473.931570;619.630247;35.338992;67.547469;1.538340;1.911415;0.523173;0.485279;217.000000;0.852227;183.350000;0.592502;-3.109105e-01;8.055984e-01
41;B-AA11746-x40-10AA.tif;1479;498.690331;572.164976;37.336175;56.606344;2.462507;1.516126;0.659576;0.587690;316.000000;0.751638;213.933000;0.617030;-1.355053e-01;8.595572e-01
42;B-AA11746-x40-10AA.tif;1170;540.252991;606.603419;36.890789;41.391204;1.204329;1.121993;0.891271;0.869521;61.000000;0.453471;133.067000;0.608258;4.054612e-02;7.990149e-01
43;B-AA11746-x40-10AA.tif;1431;985.392732;259.851153;37.468609;50.198663;1.393500;1.339753;0.746407;0.723045;114.000000;0.665490;158.299000;0.588870;-1.996390e-01;8.782086e-01
44;B-AA11746-x40-10AA.tif;759;1143.656126;234.453228;27.298999;36.050539;1.045036;1.320581;0.757242;0.743581;27.000000;0.653134;99.837000;0.582004;-8.526523e-01;9.625852e-01
45;B-AA11746-x40-10AA.tif;568;1182.329225;315.089789;22.476843;32.518520;0.989731;1.446757;0.691201;0.683907;7.000000;0.722662;84.050000;0.632041;-1.301356e+00;9.681755e-01
