No;Filename;Area;Centroid1;Centroid2;MajorAxisLength;MinorAxisLength;CircularShapeFactor;ElongationA;ElongationB;Roundness;Convex Defficiency;Eccentricity;Perimeter;MeanIntensity;MinIntensity;MaxIntensity
83;B-11333-x40-08.tif;1618;1308.774413;255.433869;32.716010;75.114080;2.043815;2.295943;0.435551;0.365129;349.000000;0.900164;203.852000;0.375842;1.367019e-01;9.276375e-01
84;B-11333-x40-08.tif;565;1366.718584;397.964602;23.618501;30.761527;1.026965;1.302434;0.767794;0.760226;26.000000;0.640697;85.390000;0.690061;5.840305e-01;9.198952e-01
85;B-11333-x40-08.tif;3784;1417.083245;235.569239;65.359600;98.776754;3.777816;1.511281;0.661690;0.493801;1201.000000;0.749777;423.839000;0.326783;6.806870e-02;8.905542e-01
86;B-11333-x40-08.tif;380;1404.207895;333.526316;18.455197;27.132061;1.190775;1.470158;0.680199;0.657246;31.000000;0.733028;75.407000;0.671642;5.679555e-01;8.886145e-01
87;B-11333-x40-08.tif;896;1417.667411;158.659598;31.538886;36.273792;0.960725;1.150129;0.869468;0.867026;20.000000;0.493990;104.006000;0.342817;1.803801e-01;9.179330e-01
88;B-11333-x40-08.tif;406;1459.184729;490.307882;20.336999;25.602025;1.006537;1.258889;0.794351;0.788656;12.000000;0.607459;71.661000;0.673353;6.335314e-01;7.696365e-01
89;B-11333-x40-08.tif;4188;1515.115091;237.661652;48.889211;128.029113;2.527719;2.618760;0.381860;0.325311;1119.000000;0.924220;364.731000;0.324197;5.964310e-02;9.514459e-01
90;B-11333-x40-08.tif;794;1491.182620;299.338791;29.246129;35.079949;1.025297;1.199473;0.833699;0.821510;25.000000;0.552219;101.144000;0.261020;7.009413e-02;9.409349e-01
91;B-11333-x40-08.tif;549;1564.260474;541.712204;22.176400;33.759955;1.266808;1.522337;0.656885;0.613308;69.000000;0.753991;93.486000;0.634884;4.833171e-01;7.822040e-01
92;B-AA11746-x40-10AA.tif;924;220.438312;86.768398;28.523329;41.632417;1.030711;1.459592;0.685123;0.678764;26.000000;0.728427;109.398000;0.483890;1.469833e-01;8.444811e-01
93;B-AA11746-x40-10AA.tif;419;392.152745;622.706444;19.676667;27.530259;1.037964;1.399132;0.714729;0.703888;15.000000;0.699402;73.927000;0.649560;1.417673e-01;9.703486e-01
94;B-AA11746-x40-10AA.tif;529;449.387524;29.646503;22.297281;34.398303;1.365416;1.542713;0.648209;0.569235;89.000000;0.761463;95.272000;0.705644;5.430217e-01;9.728182e-01
95;B-AA11746-x40-10AA.tif;2256;514.103280;516.723404;40.519795;80.322619;1.986542;1.982306;0.504463;0.445219;371.000000;0.863433;237.314000;0.248580;4.198596e-04;9.907939e-01
96;B-AA11746-x40-10AA.tif;6052;659.800892;461.805188;82.176275;136.215776;3.156845;1.657605;0.603280;0.415293;2299.000000;0.797529;489.983000;0.250800;6.011207e-04;9.728617e-01
97;B-AA11746-x40-10AA.tif;835;672.934132;519.182036;25.677864;42.819639;1.136946;1.667570;0.599675;0.579843;20.000000;0.800244;109.224000;0.174142;1.629161e-05;9.556752e-01
98;B-AA11746-x40-10AA.tif;2552;729.621473;513.045846;48.446347;71.235803;1.822953;1.470406;0.680084;0.640316;315.000000;0.733134;241.787000;0.244515;3.886610e-05;9.793237e-01
99;B-AA11746-x40-10AA.tif;1317;731.545938;407.192863;33.854641;51.808608;1.378241;1.530325;0.653456;0.624730;140.000000;0.756965;151.029000;0.236674;4.168589e-03;9.679350e-01
100;B-AA11746-x40-10AA.tif;1278;741.203443;449.575900;38.854603;42.208595;1.009105;1.086322;0.920538;0.913354;29.000000;0.390654;127.303000;0.198451;3.084125e-03;9.775729e-01
101;B-AA11746-x40-10AA.tif;1429;796.084675;531.744577;37.266125;49.001986;0.994039;1.314920;0.760502;0.757731;27.000000;0.649335;133.605000;0.304290;4.396434e-04;9.604239e-01
102;B-AA11746-x40-10AA.tif;1784;886.847534;365.937220;37.989895;67.840650;1.745158;1.785755;0.559987;0.493543;284.000000;0.828501;197.797000;0.366809;1.540171e-02;9.573083e-01
103;B-AA11746-x40-10AA.tif;320;931.146875;11.221875;15.078894;33.017583;1.938927;2.189656;0.456693;0.373740;73.000000;0.889624;88.300000;0.695296;5.831952e-01;8.200081e-01
104;B-AA11746-x40-10AA.tif;2682;959.570843;354.065250;48.817987;74.841455;1.734577;1.533071;0.652285;0.609655;384.000000;0.757973;241.786000;0.283578;5.895290e-04;9.805365e-01
105;B-AA11746-x40-10AA.tif;418;986.133971;305.801435;14.740104;42.377428;2.196113;2.874975;0.347829;0.296358;134.000000;0.937558;107.404000;0.757606;3.925906e-02;9.739465e-01
106;B-AA11746-x40-10AA.tif;530;1004.560377;111.733962;24.327482;28.322744;1.032713;1.164228;0.858938;0.841231;22.000000;0.512080;82.934000;0.715878;5.803886e-01;9.304510e-01
107;B-AA11746-x40-10AA.tif;700;1039.308571;317.362857;23.473843;52.004982;2.625544;2.215444;0.451377;0.329548;305.000000;0.892333;151.972000;0.738057;8.497587e-02;9.821574e-01
108;B-AA11746-x40-10AA.tif;403;1085.310174;326.138958;18.444369;29.800966;1.386703;1.615722;0.618919;0.577769;62.000000;0.785455;83.801000;0.728234;7.005187e-02;9.849114e-01
109;B-AA11746-x40-10AA.tif;1393;1112.440057;369.778177;37.228243;49.229794;1.285419;1.322378;0.756214;0.731822;119.000000;0.654325;150.004000;0.311670;1.164936e-02;9.172185e-01
110;B-AA11746-x40-10AA.tif;2705;1338.119409;204.448799;34.257650;113.791922;2.309587;3.321650;0.301055;0.265983;613.000000;0.953607;280.192000;0.355974;2.216151e-02;9.323977e-01
111;B-11930-x40-05.tif;1206;32.235489;751.468491;29.302079;60.368636;1.658498;2.060217;0.485386;0.421342;241.000000;0.874300;158.539000;0.686517;2.979810e-01;9.251632e-01
112;B-11930-x40-05.tif;1777;44.881261;549.274620;45.421449;54.946941;1.563702;1.209714;0.826642;0.749394;276.000000;0.562728;186.864000;0.573891;2.602739e-01;9.250264e-01
